,Real Estate Agent News,Pet Longevity,Healthcare Hiring,AI & Automation,Luxury Travel & Lifestyle,Nonprofit Revenue & Marketing,Restaurant Operator News,Golf,Alcohol & Spirits B2B,Executive/ Business News,Romance Readers ,Fertility/ OTO,Morning Briefcase,Recruiter Secrets/ Hiring Managers,The Carrot/ Millenial Investing for Passive Income
Access to Free Subscribers (Partnerships),8,7,9,4,2,9,7,6,7,5,7,10,5,7,6
Access to Public or Cheap Lists,10,2,2,2,3,10,8,8,8,6,6,7,6,7,6
Organic Referral Potential,8,5,6,2,8,8,8,9,8,7,8,8,7,8,7
Industry Ad Spend,8,8,5,6,10,4,7,10,9,9,3,10,9,9,9
High LTV Audience,7,10,7,6,9,8,8,9,8,10,7,8,10,8,10
Paid Subscription Viability,8,6,10,4,8,8,8,8,9,9,3,9,9,10,9
Affiliate & Sponsorship Potential,6,9,10,6,8,6,6,9,9,10,5,10,10,10,10
Ease of Targeting Subs (Paid Ads),9,5,6,5,7,8,7,7,7,8,7,8,8,8,8
Low-Cost Growth Hacks,8,6,10,2,6,7,7,8,7,8,9,8,8,8,8
Cold Email Viability,8,3,5,5,9,9,9,8,9,10,8,7,10,7,10
Market Gap & Opportunity,5,7,8,2,6,7,8,6,6,5,6,8,5,6,5
Trend & Industry Growth,6,8,5,10,2,4,5,7,8,6,6,9,8,9,8
Ease of Content Sourcing,8,9,5,5,7,7,6,7,8,10,10,8,10,8,10
In-House Product Potential ,6,3,7,4,4,8,9,6,6,10,5,10,10,8,10
Automation & AI Potential,6,5,3,7,5,6,6,5,6,7,8,7,7,7,6
How fast can you get to 100k subscribers?,8,3,7,6,3,7,7,6,7,8,9,10,8,8,9
How quickly can you cover acquisition costs?,7,5,8,6,6,7,7,6,8,9,6,10,9,8,9
What is the size of the potential audience?,4,8,5,8,5,8,6,10,6,10,10,10,10,10,10
"How badly does the audience ""need"" your content?",7,5,8,4,3,6,6,5,6,8,5,10,8,9,8
Virality Potential,5,8,5,7,8,6,5,8,7,8,6,9,8,8,9
Total Out of 200,142,122,131,101,119,143,140,148,149,163,134,176,165,163,167
,,,,,,,,,,,,,,,
Exit Potential,8,6,6,7,6,5,8,8,9,10,6,10,10,10,10